data0,data1,data2,data3,data4,data5,data6
001,15:00,376218,8.50,3197853.00,流出,--
002,14:57,13200,8.50,112317.00,流出,--
003,14:56,900,8.50,7655.00,流出,--
004,14:56,9700,8.51,82546.00,流入,--
005,14:56,8000,8.51,68080.00,流入,--
006,14:56,1300,8.50,11050.00,流出,--
007,14:56,49200,8.51,418687.00,流入,--
008,14:56,2000,8.51,17002.00,流入,--
009,14:56,14300,8.50,121575.00,流出,--
010,14:56,14000,8.50,119000.00,流出,--
011,14:56,15200,8.50,129224.00,流出,--
012,14:56,900,8.50,7650.00,流出,--
013,14:56,1940,8.50,16490.00,流出,--
014,14:56,6664,8.50,56644.00,流入,--
015,14:56,6900,8.50,58650.00,流入,--
016,14:56,7400,8.50,62900.00,流入,--
017,14:56,10400,8.50,88400.00,流入,--
018,14:56,53300,8.50,453050.00,流入,--
019,14:56,7500,8.50,63739.00,流入,--
020,14:56,6000,8.50,51000.00,流入,--
021,14:56,13400,8.50,113900.00,流入,--
022,14:55,600,8.49,5094.00,流出,--
023,14:55,1000,8.50,8500.00,流入,--
024,14:55,5700,8.50,48450.00,流入,--
025,14:55,5500,8.50,46750.00,流入,--
026,14:55,11600,8.50,98600.00,流入,--
027,14:55,54536,8.50,463566.00,流出,--
028,14:55,2000,8.50,17000.00,流出,--
029,14:55,1400,8.50,11900.00,流出,--
030,14:55,6800,8.50,57800.00,流出,--
031,14:55,1600,8.50,13600.00,流出,--
032,14:55,100,8.51,851.00,流入,--
033,14:55,6400,8.51,54464.00,流入,--
034,14:55,18900,8.50,160672.00,流出,--
035,14:55,2100,8.51,17871.00,流入,--
036,14:55,2700,8.51,22977.00,流入,--
037,14:55,800,8.50,6800.00,流出,--
038,14:55,156900,8.51,1333714.00,流入,--
039,14:55,500,8.51,4255.00,流入,--
040,14:54,20100,8.50,170850.00,流出,--
041,14:54,13400,8.50,113959.00,流出,--
042,14:54,1700,8.51,14467.00,流入,--
043,14:54,4900,8.51,41699.00,流入,--
044,14:54,2100,8.51,17871.00,流入,--
045,14:54,3200,8.50,27227.00,流出,--
046,14:54,4500,8.51,38289.00,流入,--
047,14:54,16100,8.50,137000.00,流出,--
048,14:54,100,8.50,850.00,流出,--
049,14:54,25300,8.51,215303.00,流入,--
050,14:54,3400,8.51,28934.00,流入,--
051,14:54,9500,8.51,80790.00,流入,--
052,14:54,3300,8.51,28083.00,流入,--
053,14:54,29400,8.51,250194.00,流入,--
054,14:54,800,8.51,6803.00,流入,--
055,14:54,1600,8.51,13616.00,流入,--
056,14:54,2400,8.50,20421.00,流出,--
057,14:53,12000,8.51,102120.00,流入,--
058,14:53,29300,8.50,249050.00,流出,--
059,14:53,500,8.50,4250.00,流出,--
060,14:53,8800,8.50,74883.00,流出,--
061,14:53,7000,8.51,59569.00,流入,--
062,14:53,2400,8.51,20420.00,流入,--
063,14:53,27800,8.50,236300.00,流出,--
064,14:53,4600,8.51,39114.00,流入,--
065,14:53,11700,8.50,99450.00,流出,--
066,14:53,800,8.50,6800.00,流出,--
067,14:53,5100,8.51,43391.00,流入,--
068,14:53,4500,8.50,38290.00,流出,--
069,14:53,4500,8.50,38250.00,流出,--
070,14:53,8200,8.51,69782.00,流入,--
071,14:52,11400,8.51,97014.00,流入,--
072,14:52,8400,8.51,71467.00,流入,--
073,14:52,500,8.51,4255.00,流入,--
074,14:52,1600,8.51,13616.00,流入,--
075,14:52,8900,8.51,75736.00,流入,--
076,14:52,5500,8.51,46805.00,流入,--
077,14:52,2900,8.51,24677.00,流入,--
078,14:52,18000,8.50,153000.00,流出,--
079,14:52,6000,8.51,51050.00,流入,--
080,14:52,2200,8.51,18722.00,流入,--
081,14:52,6300,8.50,53583.00,流出,--
082,14:52,1900,8.51,16168.00,流入,--
083,14:52,87000,8.50,739520.00,流出,--
084,14:52,14400,8.51,122544.00,流入,--
085,14:51,30000,8.50,255020.00,流出,--
086,14:51,16100,8.51,137001.00,流入,--
087,14:51,37600,8.51,319976.00,流入,--
088,14:51,1500,8.50,12750.00,流出,--
089,14:51,24400,8.51,207644.00,流入,--
090,14:51,6600,8.50,56100.00,流出,--
091,14:51,5800,8.50,49340.00,流出,--
092,14:51,2300,8.50,19564.00,流出,--
093,14:51,700,8.51,5957.00,流入,--
094,14:51,97000,8.51,824940.00,流入,--
095,14:51,4000,8.51,34035.00,流入,--
096,14:51,9600,8.50,81605.00,流出,--
097,14:51,1000,8.50,8500.00,流出,--
098,14:51,2000,8.51,17020.00,流入,--
099,14:51,2600,8.50,22100.00,流出,--
100,14:51,600,8.51,5106.00,流入,--
101,14:51,51000,8.50,433500.00,流出,--
102,14:51,3300,8.50,28050.00,流出,--
103,14:50,900,8.50,7650.00,流出,--
104,14:50,9600,8.50,81606.00,流出,--
105,14:50,8700,8.50,73950.00,流出,--
106,14:50,800,8.50,6800.00,流出,--
107,14:50,900,8.50,7650.00,流出,--
108,14:50,1400,8.50,11900.00,流出,--
109,14:50,3200,8.51,27230.00,流入,--
110,14:50,5100,8.50,43350.00,流出,--
111,14:50,13000,8.50,110500.00,流出,--
112,14:50,3464,8.50,29440.00,流入,--
113,14:50,56100,8.50,476850.00,流入,--
114,14:50,1000,8.50,8500.00,流入,--
115,14:50,3100,8.50,26350.00,流入,--
116,14:50,600,8.50,5100.00,流入,--
117,14:50,20436,8.50,173706.00,流出,--
118,14:49,3375,8.50,28687.50,流出,--
119,14:49,3000,8.50,25500.00,流出,--
120,14:49,14089,8.50,119671.50,流入,--
121,14:49,14500,8.50,123215.00,流入,--
122,14:49,6000,8.50,51000.00,流入,--
123,14:49,7800,8.50,66300.00,流入,--
124,14:49,21000,8.50,178500.00,流入,--
125,14:49,16611,8.50,141193.50,流出,--
126,14:49,2989,8.51,25413.50,流入,--
127,14:49,711,8.50,6043.50,流出,--
128,14:49,34300,8.50,291550.00,流出,--
129,14:49,11100,8.51,94361.00,流入,--
130,14:49,20700,8.50,175950.00,流出,--
131,14:49,300,8.51,2553.00,流入,--
132,14:49,8400,8.50,71410.00,流出,--
133,14:49,6000,8.50,51000.00,流出,--
134,14:48,1400,8.50,11900.00,流出,--
135,14:48,4000,8.50,34000.00,流出,--
136,14:48,200,8.50,1700.00,流出,--
137,14:48,3000,8.50,25500.00,流出,--
138,14:48,200,8.50,1700.00,流出,--
139,14:48,2000,8.50,17000.00,流出,--
140,14:48,5200,8.50,44200.00,流出,--
