价格(元),资金流入(万元),成交笔数,资金流出(万元),成交笔数(万元),资金净流入(万元),流入流出合计(万元),其它成交(万元),占成交总比例(%)
13.98,0.00,0.00,427.84,2.00,-427.84,427.84,0,100.00%
13.98,145.18,1.00,200.13,5.00,-54.95,345.31,25.8691,14.80%
13.99,15.39,1.00,253.19,6.00,-237.80,268.57,194.5276,51.35%
14.00,0.00,0.00,0.00,0.00,0.00,0.00,138.8344,0.00%
14.00,0.00,0.00,993.14,11.00,-993.14,993.14,64.1762,93.93%
14.01,0.00,0.00,78.00,1.00,-78.00,78.00,94.6823,45.17%
14.02,0.00,0.00,42.49,1.00,-42.49,42.49,424.7972,9.09%
14.02,122.20,1.00,0.00,0.00,122.20,122.20,0,100.00%
14.04,0.00,0.00,320.15,2.00,-320.15,320.15,0,100.00%
14.05,0.00,0.00,0.00,0.00,0.00,0.00,42.0599,0.00%
14.05,0.00,0.00,490.49,3.00,-490.49,490.49,284.5591,63.29%
14.06,0.00,0.00,62.23,1.00,-62.23,62.23,96.6079,39.18%
14.06,0.00,0.00,356.16,2.00,-356.16,356.16,291.7883,54.97%
14.08,0.00,0.00,212.28,3.00,-212.28,212.28,0,100.00%
14.09,0.00,0.00,150.59,2.00,-150.59,150.59,58.5027,72.02%
14.09,21.99,1.00,220.97,2.00,-198.98,242.96,115.9752,55.44%
14.10,0.00,0.00,131.60,2.00,-131.60,131.60,60.8027,68.40%
14.10,0.00,0.00,442.13,5.00,-442.13,442.13,99.9524,81.56%
14.11,0.00,0.00,345.11,2.00,-345.11,345.11,0,100.00%
14.13,0.00,0.00,0.00,0.00,0.00,0.00,55.1458,0.00%
14.14,0.00,0.00,69.17,1.00,-69.17,69.17,0,100.00%
14.15,0.00,0.00,302.44,1.00,-302.44,302.44,0,100.00%
14.15,0.00,0.00,77.88,1.00,-77.88,77.88,0,100.00%
14.16,0.00,0.00,242.66,4.00,-242.66,242.66,0,100.00%
14.18,0.00,0.00,297.22,2.00,-297.22,297.22,0,100.00%
14.19,53.74,1.00,119.02,1.00,-65.28,172.77,0,37.78%
14.19,0.00,0.00,0.00,0.00,0.00,0.00,82.7003,0.00%
14.20,7.67,1.00,346.48,3.00,-338.80,354.15,105.2614,73.75%
14.20,167.98,1.00,332.83,3.00,-164.85,500.81,10.3723,32.25%
14.21,0.00,0.00,235.03,6.00,-235.03,235.03,68.3506,77.47%
14.22,0.00,0.00,66.95,4.00,-66.95,66.95,157.2902,29.86%
14.23,171.33,1.00,0.00,0.00,171.33,171.33,0,100.00%
14.23,16.80,1.00,74.81,4.00,-58.01,91.61,11.8226,56.08%
14.24,0.00,0.00,13.24,1.00,-13.24,13.24,8.8344,59.99%
14.25,0.00,0.00,42.44,1.00,-42.44,42.44,0,100.00%
14.26,0.00,0.00,119.29,2.00,-119.29,119.29,0,100.00%
14.26,19.53,1.00,249.90,5.00,-230.36,269.43,15.5567,80.83%
14.27,0.00,0.00,0.00,0.00,0.00,0.00,47.5658,0.00%
14.27,50.40,1.00,27.98,1.00,22.41,78.38,0,28.60%
14.28,0.00,0.00,209.07,3.00,-209.07,209.07,0,100.00%
14.28,0.00,0.00,1441.13,12.00,-1441.13,1441.13,252.6592,85.08%
14.29,0.00,0.00,201.62,4.00,-201.62,201.62,43.3321,82.31%
14.30,0.00,0.00,95.09,1.00,-95.09,95.09,97.2402,49.44%
14.30,0.00,0.00,1515.52,11.00,-1515.52,1515.52,0,100.00%
14.31,0.00,0.00,342.05,3.00,-342.05,342.05,617.2349,35.66%
14.31,3.57,1.00,32.76,2.00,-29.19,36.33,0,80.33%
14.32,116.01,1.00,0.00,0.00,116.01,116.01,151.8545,43.31%
14.32,0.00,0.00,204.94,5.00,-204.94,204.94,8.1636,96.17%
14.33,0.00,0.00,127.28,1.00,-127.28,127.28,0,100.00%
14.33,5.16,1.00,69.64,5.00,-64.48,74.80,134.7941,30.76%
14.34,0.00,0.00,91.61,7.00,-91.61,91.61,193.0742,32.18%
14.35,93.14,1.00,85.15,1.00,7.98,178.29,12.6444,4.18%
14.35,58.87,1.00,262.78,6.00,-203.91,321.65,108.2671,47.43%
14.36,75.45,1.00,0.00,0.00,75.45,75.45,0,100.00%
14.36,0.00,0.00,227.30,8.00,-227.30,227.30,79.4503,74.10%
14.37,109.64,1.00,0.00,0.00,109.64,109.64,0,100.00%
14.37,34.36,3.00,165.43,8.00,-131.07,199.80,68.8429,48.79%
14.38,194.96,1.00,79.90,1.00,115.06,274.85,947.2862,9.41%
14.38,0.00,0.00,131.23,12.00,-131.23,131.23,557.3508,19.06%
14.39,141.86,1.00,778.90,7.00,-637.04,920.76,844.3873,36.09%
14.39,0.00,0.00,237.17,9.00,-237.17,237.17,239.5502,49.75%
14.40,73.82,1.00,286.59,3.00,-212.77,360.42,0,59.03%
14.40,17.28,1.00,787.17,33.00,-769.89,804.46,336.7103,67.47%
14.41,0.00,0.00,303.70,17.00,-303.70,303.70,163.0627,65.07%
14.42,0.00,0.00,170.09,2.00,-170.09,170.09,191.5858,47.03%
14.42,3.75,1.00,1141.22,32.00,-1137.47,1144.97,567.278,66.43%
14.43,0.00,0.00,0.00,0.00,0.00,0.00,307.4013,0.00%
14.43,40.70,3.00,1640.43,32.00,-1599.72,1681.13,643.4939,68.82%
14.44,0.00,0.00,720.17,3.00,-720.17,720.17,0,100.00%
14.44,0.00,0.00,13800.38,438.00,-13800.38,13800.38,133.2812,99.04%
14.45,0.00,0.00,250.37,3.00,-250.37,250.37,308.044,44.84%
14.46,0.00,0.00,0.00,0.00,0.00,0.00,80.3484,0.00%
14.47,0.00,0.00,147.78,1.00,-147.78,147.78,148.4173,49.89%
14.49,199.13,1.00,114.27,1.00,84.86,313.41,0,27.08%
14.50,80.70,1.00,808.02,5.00,-727.31,888.72,564.6937,50.04%
14.51,0.00,0.00,299.06,2.00,-299.06,299.06,0,100.00%
14.54,84.08,1.00,0.00,0.00,84.08,84.08,0,100.00%
14.55,79.53,1.00,80.25,1.00,-0.72,159.78,0,0.45%
14.56,219.56,1.00,102.41,1.00,117.15,321.97,24.8895,33.77%
14.57,0.00,0.00,86.75,1.00,-86.75,86.75,0,100.00%
14.58,0.00,0.00,133.59,1.00,-133.59,133.59,0,100.00%
14.59,149.52,1.00,188.77,2.00,-39.25,338.29,105.6907,8.84%
14.60,83.23,1.00,1224.01,4.00,-1140.77,1307.24,320.1199,70.10%
14.63,0.00,0.00,432.08,1.00,-432.08,432.08,0,100.00%
14.64,0.00,0.00,0.00,0.00,0.00,0.00,156.4368,0.00%
14.65,0.00,0.00,1002.46,7.00,-1002.46,1002.46,0,100.00%
14.67,0.00,0.00,120.71,1.00,-120.71,120.71,421.8516,22.25%
14.68,150.41,1.00,69.97,1.00,80.43,220.38,0,36.50%
14.69,0.00,0.00,0.00,0.00,0.00,0.00,75.5797,0.00%
14.70,240.34,1.00,810.69,6.00,-570.35,1051.03,379.8685,39.86%
14.71,0.00,0.00,43.89,1.00,-43.89,43.89,67.0332,39.57%
14.72,216.65,1.00,0.00,0.00,216.65,216.65,372.9302,36.75%
14.73,0.00,0.00,187.39,1.00,-187.39,187.39,0,100.00%
14.74,435.33,2.00,466.50,3.00,-31.17,901.83,105.8914,3.09%
14.75,62.02,1.00,538.76,5.00,-476.74,600.79,684.5201,37.09%
14.76,0.00,0.00,148.80,2.00,-148.80,148.80,0,100.00%
14.77,71.73,1.00,208.77,2.00,-137.04,280.50,48.3476,41.67%
14.78,0.00,0.00,286.93,3.00,-286.93,286.93,662.7955,30.21%
14.79,0.00,0.00,112.51,2.00,-112.51,112.51,80.5326,58.28%
14.80,0.00,0.00,1224.49,12.00,-1224.49,1224.49,96.1115,92.72%
14.81,0.00,0.00,152.74,1.00,-152.74,152.74,109.3265,58.28%
14.82,50.09,1.00,100.95,1.00,-50.86,151.04,137.214,17.64%
14.83,0.00,0.00,20.45,1.00,-20.45,20.45,182.0566,10.10%
14.84,0.00,0.00,0.00,0.00,0.00,0.00,706.5759,0.00%
14.85,30.59,1.00,517.94,4.00,-487.35,548.53,594.0649,42.65%
14.86,405.53,3.00,128.02,2.00,277.51,533.55,236.7394,36.03%
14.87,96.06,1.00,432.43,4.00,-336.37,528.49,400.5901,36.20%
14.88,0.00,0.00,689.67,4.00,-689.67,689.67,114.4278,85.77%
14.89,66.66,2.00,279.01,3.00,-212.35,345.68,89.8604,48.76%
14.90,38.47,1.00,518.64,8.00,-480.18,557.11,0,86.19%
14.91,72.78,1.00,15.50,1.00,57.28,88.28,0,64.88%
14.92,179.23,1.00,348.48,3.00,-169.25,527.71,0,32.07%
